Id,Rule Name,Product,Severity,Status,Confidence,Category,Is Pro Rule,Semgrep Autotriage Result,Semgrep Autotriage Reason,Ai Impact,Ai Exploit Conditions,Semgrep File Risk Tag,Repository Name,Repository Url,Line Of Code Url,Semgrep Platform Link,Created At,Last Opened At,Branch,Triaged At,Triage Comment,Triage Reason,Rule Description
762505719,dockerfile.security.missing-user.missing-user,Code,High,Open,Medium,security,False,True positive,,,,Build Process,AbdoulDiouf2/Insightsage_backend,https://github.com/AbdoulDiouf2/Insightsage_backend,https://github.com/AbdoulDiouf2/Insightsage_backend/blob/676a022ce92b3e6748112ffba0bc060da33bd9a1/Dockerfile#L31,https://semgrep.dev/orgs/maadec/findings/762505719,2026-04-23 20:39:31.890370,2026-04-23 20:39:31.863546,refs/heads/main,,,,"By not specifying a USER, a program in the container may run as 'root'. This is a security hazard. If an attacker can control a process running as root, they may have control over the container. Ensure that the last USER in a Dockerfile is a USER other than 'root'."
762505718,generic.nginx.security.possible-h2c-smuggling.possible-nginx-h2c-smuggling,Code,Medium,Open,Medium,security,False,,,,,Infrastructure,AbdoulDiouf2/Insightsage_backend,https://github.com/AbdoulDiouf2/Insightsage_backend,https://github.com/AbdoulDiouf2/Insightsage_backend/blob/676a022ce92b3e6748112ffba0bc060da33bd9a1/nginx/nginx.conf#L69,https://semgrep.dev/orgs/maadec/findings/762505718,2026-04-23 20:39:31.890353,2026-04-23 20:39:31.863541,refs/heads/main,,,,"Conditions for Nginx H2C smuggling identified. H2C smuggling allows upgrading HTTP/1.1 connections to lesser-known HTTP/2 over cleartext (h2c) connections which can allow a bypass of reverse proxy access controls, and lead to long-lived, unrestricted HTTP traffic directly to back-end servers. To mitigate: WebSocket support required: Allow only the value websocket for HTTP/1.1 upgrade headers (e.g., Upgrade: websocket). WebSocket support not required: Do not forward Upgrade headers."
762505717,generic.nginx.security.possible-h2c-smuggling.possible-nginx-h2c-smuggling,Code,Medium,Open,Medium,security,False,,,,,Infrastructure,AbdoulDiouf2/Insightsage_backend,https://github.com/AbdoulDiouf2/Insightsage_backend,https://github.com/AbdoulDiouf2/Insightsage_backend/blob/676a022ce92b3e6748112ffba0bc060da33bd9a1/nginx/nginx.prod.conf#L102,https://semgrep.dev/orgs/maadec/findings/762505717,2026-04-23 20:39:31.890337,2026-04-23 20:39:31.863536,refs/heads/main,,,,"Conditions for Nginx H2C smuggling identified. H2C smuggling allows upgrading HTTP/1.1 connections to lesser-known HTTP/2 over cleartext (h2c) connections which can allow a bypass of reverse proxy access controls, and lead to long-lived, unrestricted HTTP traffic directly to back-end servers. To mitigate: WebSocket support required: Allow only the value websocket for HTTP/1.1 upgrade headers (e.g., Upgrade: websocket). WebSocket support not required: Do not forward Upgrade headers."
762505708,javascript.lang.security.audit.path-traversal.path-join-resolve-traversal.path-join-resolve-traversal,Code,Medium,Open,Low,security,False,True positive,,,,,AbdoulDiouf2/Insightsage_backend,https://github.com/AbdoulDiouf2/Insightsage_backend,https://github.com/AbdoulDiouf2/Insightsage_backend/blob/676a022ce92b3e6748112ffba0bc060da33bd9a1/src/storage/storage.service.ts#L139,https://semgrep.dev/orgs/maadec/findings/762505708,2026-04-23 20:39:31.890160,2026-04-23 20:39:31.863470,refs/heads/main,,,,"Detected possible user input going into a `path.join` or `path.resolve` function. This could possibly lead to a path traversal vulnerability,  where the attacker can access arbitrary files stored in the file system. Instead, be sure to sanitize or validate user input first."
